,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,419.05,562.0,392.5,26.55000000000001,0,2024-12-20,2024-12-23,1
1,463.5,533.15,406.25,57.25,0,2024-12-23,2024-12-24,1
2,432.75,502.15,341.15,69.39999999999998,1,2024-12-24,2024-12-26,1
3,424.25,565.1,426.95,-2.6999999999999886,0,2024-12-26,2024-12-27,0
4,456.9,517.2,263.0,193.89999999999998,0,2024-12-27,2024-12-30,1
5,305.15,341.9,148.6,156.54999999999998,0,2024-12-30,2024-12-31,1
6,305.0,427.15,209.25,95.75,0,2024-12-31,2025-01-01,1
