,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,795.0,969.85,494.5,174.85000000000002,1,2024-12-12,2024-12-13,1
1,969.85,927.7,834.65,135.20000000000005,0,2024-12-13,2024-12-16,1
2,863.1,825.0,583.05,-38.10000000000002,1,2024-12-16,2024-12-17,0
3,592.0,628.7,447.55,36.700000000000045,1,2024-12-17,2024-12-18,1
4,466.05,346.7,272.05,194.0,0,2024-12-18,2024-12-19,1
5,320.5,367.75,133.35,187.15,0,2024-12-19,2024-12-20,1
6,149.85,189.95,99.0,50.849999999999994,0,2024-12-20,2024-12-23,1
7,125.5,160.25,84.35,41.150000000000006,0,2024-12-23,2024-12-24,1
8,95.0,128.0,70.0,33.0,1,2024-12-24,2024-12-26,1
9,97.05,149.0,74.4,22.64999999999999,0,2024-12-26,2024-12-27,1
10,83.25,111.85,26.65,56.6,0,2024-12-27,2024-12-30,1
11,29.85,40.9,12.65,17.200000000000003,0,2024-12-30,2024-12-31,1
12,27.85,59.0,12.9,14.950000000000001,0,2024-12-31,2025-01-01,1
