,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,418.55,470.05,353.25,51.5,1,2024-12-11,2024-12-12,1
1,360.0,476.9,190.3,116.89999999999998,1,2024-12-12,2024-12-13,1
2,476.9,466.8,379.0,97.89999999999998,0,2024-12-13,2024-12-16,1
3,401.05,385.0,225.8,-16.05000000000001,1,2024-12-16,2024-12-17,0
4,233.25,250.0,153.5,16.75,1,2024-12-17,2024-12-18,1
5,169.05,107.95,81.65,87.4,0,2024-12-18,2024-12-19,1
6,95.0,123.8,35.4,59.6,0,2024-12-19,2024-12-20,1
7,42.0,54.05,13.7,28.3,0,2024-12-20,2024-12-23,1
8,16.5,17.0,8.3,8.2,0,2024-12-23,2024-12-24,1
9,8.6,12.15,5.5,3.5500000000000007,1,2024-12-24,2024-12-26,1
10,6.4,8.0,2.55,3.8500000000000005,0,2024-12-26,2024-12-27,1
11,2.75,3.1,1.5,1.25,0,2024-12-27,2024-12-30,1
12,1.55,1.85,1.3,0.25,0,2024-12-30,2024-12-31,1
13,1.45,1.65,0.7,0.75,0,2024-12-31,2025-01-01,1
