,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,643.7,756.55,374.0,112.84999999999991,1,2024-12-12,2024-12-13,1
1,756.55,756.55,680.0,76.54999999999995,0,2024-12-13,2024-12-16,1
2,695.0,568.75,444.25,-126.25,1,2024-12-16,2024-12-17,0
3,450.4,478.15,326.8,27.75,1,2024-12-17,2024-12-18,1
4,333.55,240.75,190.1,143.45000000000002,0,2024-12-18,2024-12-19,1
5,225.0,264.35,87.35,137.65,0,2024-12-19,2024-12-20,1
6,90.8,122.0,51.0,39.8,0,2024-12-20,2024-12-23,1
7,64.3,82.1,36.75,27.549999999999997,0,2024-12-23,2024-12-24,1
8,42.0,58.5,32.05,16.5,1,2024-12-24,2024-12-26,1
9,42.55,66.0,24.4,18.15,0,2024-12-26,2024-12-27,1
10,28.15,40.65,8.2,19.95,0,2024-12-27,2024-12-30,1
11,8.55,10.15,4.85,3.700000000000001,0,2024-12-30,2024-12-31,1
12,6.5,14.0,3.5,3.0,0,2024-12-31,2025-01-01,1
