,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,738.95,1128.45,1128.45,-389.5,0,2024-12-13,2024-12-16,0
1,1128.45,900.0,866.0,-228.45000000000005,1,2024-12-16,2024-12-17,0
2,900.0,523.85,451.0,-376.15,1,2024-12-17,2024-12-19,0
3,517.0,565.15,244.6,272.4,0,2024-12-19,2024-12-20,1
4,273.0,372.75,229.15,43.849999999999994,0,2024-12-20,2024-12-23,1
5,274.7,341.0,229.05,45.64999999999998,0,2024-12-23,2024-12-24,1
6,245.05,308.85,184.2,63.80000000000001,1,2024-12-24,2024-12-26,1
7,244.5,352.5,231.1,13.400000000000006,0,2024-12-26,2024-12-27,1
8,251.15,302.0,112.8,138.35000000000002,0,2024-12-27,2024-12-30,1
9,134.15,165.7,54.0,80.15,0,2024-12-30,2024-12-31,1
10,135.0,225.0,75.6,59.400000000000006,0,2024-12-31,2025-01-01,1
