,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,279.95,239.75,229.2,-40.19999999999999,1,2024-12-11,2024-12-12,0
1,231.9,311.4,118.75,79.49999999999997,1,2024-12-12,2024-12-13,1
2,308.1,310.9,250.0,58.10000000000002,0,2024-12-13,2024-12-16,1
3,262.1,253.5,144.0,-8.600000000000023,1,2024-12-16,2024-12-17,0
4,146.2,152.85,93.75,6.650000000000006,1,2024-12-17,2024-12-18,1
5,103.25,62.2,48.95,54.3,0,2024-12-18,2024-12-19,1
6,55.45,72.1,21.35,34.1,0,2024-12-19,2024-12-20,1
7,24.0,26.15,7.75,16.25,0,2024-12-20,2024-12-23,1
8,9.1,8.15,4.9,4.199999999999999,0,2024-12-23,2024-12-24,1
9,4.95,6.25,2.4,1.2999999999999998,1,2024-12-24,2024-12-26,1
10,2.4,3.45,1.5,0.8999999999999999,0,2024-12-26,2024-12-27,1
11,1.6,1.8,1.15,0.4500000000000002,0,2024-12-27,2024-12-30,1
12,1.15,1.55,1.1,0.04999999999999982,0,2024-12-30,2024-12-31,1
13,1.25,1.3,0.7,0.55,0,2024-12-31,2025-01-01,1
