,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,586.95,609.1,587.1,22.149999999999977,1,2024-12-11,2024-12-12,1
1,472.9,377.55,350.0,-95.34999999999997,1,2024-11-26,2024-11-29,0
2,591.05,642.2,297.75,51.15000000000009,1,2024-12-12,2024-12-13,1
3,640.95,550.3,350.0,290.95000000000005,0,2024-12-13,2024-12-17,1
4,358.2,382.0,251.5,23.80000000000001,1,2024-12-17,2024-12-18,1
5,263.3,186.45,142.4,120.9,0,2024-12-18,2024-12-19,1
6,163.0,200.45,63.0,100.0,0,2024-12-19,2024-12-20,1
7,71.65,87.15,30.0,41.650000000000006,0,2024-12-20,2024-12-23,1
8,37.55,46.15,19.6,17.949999999999996,0,2024-12-23,2024-12-24,1
9,22.5,44.4,17.3,21.9,1,2024-12-24,2024-12-26,1
10,20.35,30.65,9.6,10.750000000000002,0,2024-12-26,2024-12-27,1
11,10.65,16.0,3.35,7.300000000000001,0,2024-12-27,2024-12-30,1
12,3.5,3.7,2.0,1.5,0,2024-12-30,2024-12-31,1
13,2.6,3.95,1.1,1.5,0,2024-12-31,2025-01-01,1
