,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,1066.65,1098.0,1098.0,31.34999999999991,1,2024-12-11,2024-12-13,1
1,1098.0,938.45,923.75,174.25,0,2024-12-13,2024-12-17,1
2,923.75,483.6,424.5,-440.15,1,2024-12-17,2024-12-19,0
3,483.2,527.55,223.05,260.15,0,2024-12-19,2024-12-20,1
4,250.85,338.0,202.7,48.150000000000006,0,2024-12-20,2024-12-23,1
5,249.55,305.65,199.45,50.10000000000002,0,2024-12-23,2024-12-24,1
6,214.1,270.25,159.8,56.150000000000006,1,2024-12-24,2024-12-26,1
7,214.0,313.6,198.6,15.400000000000006,0,2024-12-26,2024-12-27,1
8,219.5,264.0,91.75,127.75,0,2024-12-27,2024-12-30,1
9,108.9,138.0,43.0,65.9,0,2024-12-30,2024-12-31,1
10,111.0,191.0,58.25,52.75,0,2024-12-31,2025-01-01,1
