,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,861.6,707.4,596.0,-154.20000000000005,1,2024-12-17,2024-12-18,0
1,607.2,460.0,386.0,221.20000000000005,0,2024-12-18,2024-12-19,1
2,443.05,495.95,202.4,240.65,0,2024-12-19,2024-12-20,1
3,226.0,304.75,177.55,48.44999999999999,0,2024-12-20,2024-12-23,1
4,213.05,273.0,171.65,41.400000000000006,0,2024-12-23,2024-12-24,1
5,187.8,238.4,137.35,50.599999999999994,1,2024-12-24,2024-12-26,1
6,186.5,276.25,168.0,18.5,0,2024-12-26,2024-12-27,1
7,184.3,228.85,73.65,110.65,0,2024-12-27,2024-12-30,1
8,87.5,113.0,33.85,53.65,0,2024-12-30,2024-12-31,1
9,88.0,159.0,44.2,43.8,0,2024-12-31,2025-01-01,1
