,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,474.4,433.95,383.0,-40.44999999999999,1,2024-12-11,2024-12-12,0
1,394.9,513.55,210.85,118.64999999999998,1,2024-12-12,2024-12-13,1
2,513.55,471.4,420.5,93.04999999999995,0,2024-12-13,2024-12-16,1
3,438.9,414.45,250.0,-24.44999999999999,1,2024-12-16,2024-12-17,0
4,255.85,269.1,170.6,13.250000000000028,1,2024-12-17,2024-12-18,1
5,180.35,113.45,91.95,88.39999999999999,0,2024-12-18,2024-12-19,1
6,110.1,136.7,40.1,70.0,0,2024-12-19,2024-12-20,1
7,45.2,60.0,15.95,29.250000000000004,0,2024-12-20,2024-12-23,1
8,21.1,20.85,9.5,11.600000000000001,0,2024-12-23,2024-12-24,1
9,11.0,15.25,6.75,4.25,1,2024-12-24,2024-12-26,1
10,7.15,10.5,3.1,4.050000000000001,0,2024-12-26,2024-12-27,1
11,3.6,4.25,1.4,2.2,0,2024-12-27,2024-12-30,1
12,1.45,2.0,1.25,0.19999999999999996,0,2024-12-30,2024-12-31,1
13,1.5,1.85,0.85,0.65,0,2024-12-31,2025-01-01,1
