,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,837.6,831.25,478.9,358.70000000000005,0,2024-12-19,2024-12-20,1
1,528.15,698.75,509.0,19.149999999999977,0,2024-12-20,2024-12-23,1
2,580.95,665.3,531.0,49.950000000000045,0,2024-12-23,2024-12-24,1
3,563.55,634.4,458.9,70.85000000000002,1,2024-12-24,2024-12-26,1
4,550.6,700.0,565.0,-14.399999999999977,0,2024-12-26,2024-12-27,0
5,595.05,652.0,382.65,212.39999999999998,0,2024-12-27,2024-12-30,1
6,427.95,472.05,241.75,186.2,0,2024-12-30,2024-12-31,1
7,428.85,560.45,323.2,105.65000000000003,0,2024-12-31,2025-01-01,1
