,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,709.05,790.3,415.7,293.34999999999997,0,2024-12-19,2024-12-20,1
1,454.65,608.0,425.0,29.649999999999977,0,2024-12-20,2024-12-23,1
2,498.55,575.0,445.7,52.85000000000002,0,2024-12-23,2024-12-24,1
3,475.15,545.65,379.65,70.5,1,2024-12-24,2024-12-26,1
4,466.95,611.5,473.0,-6.050000000000011,0,2024-12-26,2024-12-27,0
5,503.8,562.0,300.7,203.10000000000002,0,2024-12-27,2024-12-30,1
6,338.55,384.35,176.7,161.85000000000002,0,2024-12-30,2024-12-31,1
7,345.0,473.5,245.15,99.85,0,2024-12-31,2025-01-01,1
