,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,929.65,546.3,491.25,-383.35,1,2024-12-17,2024-12-19,0
1,531.75,569.35,267.5,264.25,0,2024-12-19,2024-12-20,1
2,300.2,404.6,257.45,42.75,0,2024-12-20,2024-12-23,1
3,307.6,374.9,261.0,46.60000000000002,0,2024-12-23,2024-12-24,1
4,282.6,342.5,211.05,59.89999999999998,1,2024-12-24,2024-12-26,1
5,274.1,393.5,265.8,8.300000000000011,0,2024-12-26,2024-12-27,1
6,289.9,341.75,137.0,152.89999999999998,0,2024-12-27,2024-12-30,1
7,161.85,196.8,67.5,94.35,0,2024-12-30,2024-12-31,1
8,164.4,262.4,96.0,68.4,0,2024-12-31,2025-01-01,1
