,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,446.85,544.5,544.5,97.64999999999998,1,2024-11-26,2024-11-27,1
1,709.65,548.35,410.0,299.65,0,2024-12-13,2024-12-17,1
2,423.35,445.55,300.0,22.19999999999999,1,2024-12-17,2024-12-18,1
3,315.05,209.9,174.05,141.0,0,2024-12-18,2024-12-19,1
4,207.2,241.5,78.0,129.2,0,2024-12-19,2024-12-20,1
5,84.45,110.7,42.4,42.050000000000004,0,2024-12-20,2024-12-23,1
6,55.45,68.55,29.65,25.800000000000004,0,2024-12-23,2024-12-24,1
7,35.65,47.35,26.2,11.700000000000003,1,2024-12-24,2024-12-26,1
8,32.05,51.9,17.85,14.199999999999996,0,2024-12-26,2024-12-27,1
9,20.5,30.2,5.85,14.65,0,2024-12-27,2024-12-30,1
10,6.05,6.95,3.0,3.05,0,2024-12-30,2024-12-31,1
11,4.85,9.65,2.55,2.3,0,2024-12-31,2025-01-01,1
