,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,879.2,920.0,917.0,40.799999999999955,1,2024-12-12,2024-12-16,1
1,917.0,359.0,300.6,-558.0,1,2024-12-16,2024-12-19,0
2,348.1,398.3,149.6,198.50000000000003,0,2024-12-19,2024-12-20,1
3,165.9,215.0,116.3,49.60000000000001,0,2024-12-20,2024-12-23,1
4,150.0,184.75,103.35,46.650000000000006,0,2024-12-23,2024-12-24,1
5,115.0,152.0,83.55,37.0,1,2024-12-24,2024-12-26,1
6,116.2,178.0,93.7,22.5,0,2024-12-26,2024-12-27,1
7,105.8,136.9,35.0,70.8,0,2024-12-27,2024-12-30,1
8,40.8,54.85,16.25,24.549999999999997,0,2024-12-30,2024-12-31,1
9,37.75,79.5,17.7,20.05,0,2024-12-31,2025-01-01,1
