,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,301.4,316.25,249.1,14.850000000000023,1,2024-12-11,2024-12-12,1
1,254.7,350.7,124.45,96.0,1,2024-12-12,2024-12-13,1
2,350.7,343.9,270.05,80.64999999999998,0,2024-12-13,2024-12-16,1
3,288.45,275.5,154.0,-12.949999999999989,1,2024-12-16,2024-12-17,0
4,157.0,170.5,103.2,13.5,1,2024-12-17,2024-12-18,1
5,114.4,71.65,53.8,60.60000000000001,0,2024-12-18,2024-12-19,1
6,61.3,81.9,23.2,38.099999999999994,0,2024-12-19,2024-12-20,1
7,25.4,50.0,8.4,17.0,0,2024-12-20,2024-12-23,1
8,9.95,9.4,5.5,4.449999999999999,0,2024-12-23,2024-12-24,1
9,5.55,7.2,2.95,1.6500000000000004,1,2024-12-24,2024-12-26,1
10,3.1,3.95,1.6,1.5,0,2024-12-26,2024-12-27,1
11,1.7,1.9,1.2,0.5,0,2024-12-27,2024-12-30,1
12,1.2,1.65,1.05,0.1499999999999999,0,2024-12-30,2024-12-31,1
13,1.25,1.45,0.7,0.55,0,2024-12-31,2025-01-01,1
