,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,489.4,520.9,353.0,31.5,1,2024-12-17,2024-12-18,1
1,369.7,268.85,208.45,161.25,0,2024-12-18,2024-12-19,1
2,243.0,285.0,97.7,145.3,0,2024-12-19,2024-12-20,1
3,113.05,135.0,60.35,52.699999999999996,0,2024-12-20,2024-12-23,1
4,76.95,98.45,45.7,31.25,0,2024-12-23,2024-12-24,1
5,52.8,72.2,39.35,19.400000000000006,1,2024-12-24,2024-12-26,1
6,52.35,83.0,32.8,19.550000000000004,0,2024-12-26,2024-12-27,1
7,37.0,53.8,11.25,25.75,0,2024-12-27,2024-12-30,1
8,11.85,15.0,5.95,5.8999999999999995,0,2024-12-30,2024-12-31,1
9,9.35,21.1,4.6,4.75,0,2024-12-31,2025-01-01,1
