,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,1369.5,731.55,640.0,729.5,0,2024-12-18,2024-12-20,1
1,681.05,882.45,710.0,-28.950000000000045,0,2024-12-20,2024-12-23,0
2,756.4,835.3,715.8,40.60000000000002,0,2024-12-23,2024-12-24,1
3,720.6,817.15,631.55,96.54999999999995,1,2024-12-24,2024-12-26,1
4,725.75,892.0,754.35,-28.600000000000023,0,2024-12-26,2024-12-27,0
5,786.2,849.7,563.6,222.60000000000002,0,2024-12-27,2024-12-30,1
6,610.75,648.6,402.0,208.75,0,2024-12-30,2024-12-31,1
7,617.0,756.7,503.6,113.39999999999998,0,2024-12-31,2025-01-01,1
