,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,672.2,932.85,917.8,-245.5999999999999,0,2024-12-13,2024-12-16,0
1,932.85,757.45,674.1,-175.39999999999998,1,2024-12-16,2024-12-17,0
2,674.1,628.15,515.95,-45.950000000000045,1,2024-12-17,2024-12-18,0
3,536.0,413.7,327.0,209.0,0,2024-12-18,2024-12-19,1
4,381.0,430.4,166.2,214.8,0,2024-12-19,2024-12-20,1
5,186.55,253.95,134.3,52.25,0,2024-12-20,2024-12-23,1
6,167.0,213.3,124.0,43.0,0,2024-12-23,2024-12-24,1
7,136.0,178.0,99.2,42.0,1,2024-12-24,2024-12-26,1
8,138.05,208.0,115.25,22.80000000000001,0,2024-12-26,2024-12-27,1
9,130.1,164.9,45.5,84.6,0,2024-12-27,2024-12-30,1
10,53.2,71.35,20.85,32.35,0,2024-12-30,2024-12-31,1
11,51.0,103.35,24.25,26.75,0,2024-12-31,2025-01-01,1
