,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,383.1,393.05,321.6,9.949999999999989,1,2024-12-11,2024-12-12,1
1,336.65,432.6,174.75,95.95000000000005,1,2024-12-12,2024-12-13,1
2,432.6,434.05,350.0,82.60000000000002,0,2024-12-13,2024-12-16,1
3,370.0,361.85,201.2,-8.149999999999977,1,2024-12-16,2024-12-17,0
4,216.4,225.0,142.5,8.599999999999994,1,2024-12-17,2024-12-18,1
5,151.35,98.95,74.95,76.39999999999999,0,2024-12-18,2024-12-19,1
6,86.25,111.0,33.1,53.15,0,2024-12-19,2024-12-20,1
7,36.35,40.2,11.8,24.55,0,2024-12-20,2024-12-23,1
8,15.85,17.45,7.2,8.649999999999999,0,2024-12-23,2024-12-24,1
9,7.2,10.4,4.55,3.2,1,2024-12-24,2024-12-26,1
10,5.3,6.55,2.25,3.05,0,2024-12-26,2024-12-27,1
11,2.5,2.55,1.3,1.2,0,2024-12-27,2024-12-30,1
12,1.3,1.8,0.9,0.4,0,2024-12-30,2024-12-31,1
13,1.3,1.65,0.8,0.5,0,2024-12-31,2025-01-01,1
