,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,1274.0,1164.95,1094.95,179.04999999999995,0,2024-12-13,2024-12-17,1
1,1109.95,1045.0,830.0,-64.95000000000005,1,2024-12-17,2024-12-18,0
2,845.0,707.9,595.0,250.0,0,2024-12-18,2024-12-19,1
3,660.05,718.3,348.95,311.09999999999997,0,2024-12-19,2024-12-20,1
4,390.8,525.8,353.7,37.10000000000002,0,2024-12-20,2024-12-23,1
5,420.95,495.4,366.1,54.849999999999966,0,2024-12-23,2024-12-24,1
6,390.0,460.0,303.7,70.0,1,2024-12-24,2024-12-26,1
7,385.0,521.9,383.6,1.3999999999999773,0,2024-12-26,2024-12-27,1
8,411.5,471.65,227.4,184.1,0,2024-12-27,2024-12-30,1
9,263.0,303.0,123.8,139.2,0,2024-12-30,2024-12-31,1
10,265.25,383.55,176.7,88.55000000000001,0,2024-12-31,2025-01-01,1
