,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,765.25,650.75,475.0,290.25,0,2024-12-20,2024-12-23,1
1,539.95,628.0,490.85,49.10000000000002,0,2024-12-23,2024-12-24,1
2,522.05,595.05,419.0,73.0,1,2024-12-24,2024-12-26,1
3,506.45,656.6,518.1,-11.650000000000034,0,2024-12-26,2024-12-27,0
4,547.8,607.55,341.4,206.39999999999998,0,2024-12-27,2024-12-30,1
5,381.65,425.45,207.85,173.79999999999998,0,2024-12-30,2024-12-31,1
6,386.0,517.1,283.7,102.30000000000001,0,2024-12-31,2025-01-01,1
