,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,357.3,366.3,297.7,9.0,1,2024-12-11,2024-12-12,1
1,308.9,411.9,156.9,103.0,1,2024-12-12,2024-12-13,1
2,411.9,401.0,302.25,109.64999999999998,0,2024-12-13,2024-12-16,1
3,342.6,329.05,188.95,-13.550000000000011,1,2024-12-16,2024-12-17,0
4,193.2,208.0,125.9,14.800000000000011,1,2024-12-17,2024-12-18,1
5,140.85,88.35,66.7,74.14999999999999,0,2024-12-18,2024-12-19,1
6,78.0,101.1,29.0,49.0,0,2024-12-19,2024-12-20,1
7,32.45,45.35,10.4,22.050000000000004,0,2024-12-20,2024-12-23,1
8,12.4,12.45,6.5,5.9,0,2024-12-23,2024-12-24,1
9,7.2,9.2,3.9,1.9999999999999991,1,2024-12-24,2024-12-26,1
10,4.35,5.4,2.0,2.3499999999999996,0,2024-12-26,2024-12-27,1
11,2.2,2.25,1.35,0.8500000000000001,0,2024-12-27,2024-12-30,1
12,1.4,1.7,1.1,0.2999999999999998,0,2024-12-30,2024-12-31,1
13,1.35,1.45,0.75,0.6000000000000001,0,2024-12-31,2025-01-01,1
