,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,254.3,261.95,204.9,7.649999999999977,1,2024-12-11,2024-12-12,1
1,212.7,290.0,105.0,77.30000000000001,1,2024-12-12,2024-12-13,1
2,290.0,285.45,227.8,62.19999999999999,0,2024-12-13,2024-12-16,1
3,239.55,230.0,126.5,-9.550000000000011,1,2024-12-16,2024-12-17,0
4,130.6,140.0,84.7,9.400000000000006,1,2024-12-17,2024-12-18,1
5,97.4,64.2,45.0,52.400000000000006,0,2024-12-18,2024-12-19,1
6,46.35,65.4,19.0,27.35,0,2024-12-19,2024-12-20,1
7,21.5,30.0,7.05,14.45,0,2024-12-20,2024-12-23,1
8,8.55,7.9,4.0,4.550000000000001,0,2024-12-23,2024-12-24,1
9,4.15,5.5,2.45,1.3499999999999996,1,2024-12-24,2024-12-26,1
10,2.6,3.2,1.4,1.2000000000000002,0,2024-12-26,2024-12-27,1
11,1.5,1.8,1.1,0.3999999999999999,0,2024-12-27,2024-12-30,1
12,1.2,1.5,1.1,0.09999999999999987,0,2024-12-30,2024-12-31,1
13,1.45,1.35,0.6,0.85,0,2024-12-31,2025-01-01,1
