,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,34.0,38.8,28.05,4.799999999999997,1,2024-12-11,2024-12-12,1
1,132.9,130.0,106.65,-2.9000000000000057,1,2024-11-26,2024-11-27,0
2,35.15,88.2,24.0,53.050000000000004,1,2024-12-12,2024-12-13,1
3,24.75,38.25,20.25,4.5,0,2024-12-13,2024-12-16,1
4,32.1,55.75,32.1,23.65,1,2024-12-16,2024-12-17,1
5,49.95,64.0,42.8,14.049999999999997,1,2024-12-17,2024-12-18,1
6,51.0,125.1,80.0,-29.0,0,2024-12-18,2024-12-19,0
7,93.8,219.2,79.4,14.399999999999991,0,2024-12-19,2024-12-20,1
8,196.2,168.0,70.4,125.79999999999998,0,2024-12-20,2024-12-23,1
9,94.0,103.2,61.45,32.55,0,2024-12-23,2024-12-24,1
10,68.7,106.9,48.0,38.2,1,2024-12-24,2024-12-26,1
11,74.7,69.0,27.1,47.6,0,2024-12-26,2024-12-27,1
12,32.0,88.8,20.0,12.0,0,2024-12-27,2024-12-30,1
13,54.05,146.0,54.35,-0.30000000000000426,0,2024-12-30,2024-12-31,0
14,55.45,86.0,26.1,29.35,0,2024-12-31,2025-01-01,1
