,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,138.9,160.05,121.95,21.150000000000006,1,2024-12-11,2024-12-12,1
1,335.0,317.3,317.25,17.75,0,2024-11-25,2024-11-27,1
2,152.4,327.5,97.0,175.1,1,2024-12-12,2024-12-13,1
3,97.5,157.75,107.15,-9.650000000000006,0,2024-12-13,2024-12-16,0
4,131.8,242.85,144.8,111.04999999999998,1,2024-12-16,2024-12-17,1
5,239.95,303.2,204.4,63.25,1,2024-12-17,2024-12-18,1
6,225.0,480.75,383.55,-158.55,0,2024-12-18,2024-12-19,0
7,408.35,729.45,370.0,38.35000000000002,0,2024-12-19,2024-12-20,1
8,681.4,617.2,423.05,258.34999999999997,0,2024-12-20,2024-12-23,1
9,521.5,554.0,424.7,96.80000000000001,0,2024-12-23,2024-12-24,1
10,505.0,618.7,425.0,113.70000000000005,1,2024-12-24,2024-12-26,1
11,513.25,482.2,347.0,166.25,0,2024-12-26,2024-12-27,1
12,432.5,664.0,372.55,59.94999999999999,0,2024-12-27,2024-12-30,1
13,594.75,820.0,561.55,33.200000000000045,0,2024-12-30,2024-12-31,1
14,595.05,710.0,450.0,145.04999999999995,0,2024-12-31,2025-01-01,1
