,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,38.9,46.9,36.0,8.0,1,2024-12-11,2024-12-12,1
1,41.05,106.0,27.5,64.95,1,2024-12-12,2024-12-13,1
2,28.3,44.95,31.5,-3.1999999999999993,0,2024-12-13,2024-12-16,0
3,36.85,66.0,41.65,29.15,1,2024-12-16,2024-12-17,1
4,61.65,79.65,53.35,18.000000000000007,1,2024-12-17,2024-12-18,1
5,63.7,147.4,100.0,-36.3,0,2024-12-18,2024-12-19,0
6,111.8,263.25,99.3,12.5,0,2024-12-19,2024-12-20,1
7,234.55,200.0,90.05,144.5,0,2024-12-20,2024-12-23,1
8,119.85,132.5,80.25,39.599999999999994,0,2024-12-23,2024-12-24,1
9,92.0,142.85,65.95,50.849999999999994,1,2024-12-24,2024-12-26,1
10,101.9,98.2,41.35,60.550000000000004,0,2024-12-26,2024-12-27,1
11,48.1,128.85,31.8,16.3,0,2024-12-27,2024-12-30,1
12,84.65,205.6,81.1,3.5500000000000114,0,2024-12-30,2024-12-31,1
13,86.7,128.95,43.25,43.45,0,2024-12-31,2025-01-01,1
