,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,186.7,342.5,108.3,155.8,1,2024-12-11,2024-12-13,1
1,108.3,169.3,116.8,-8.5,0,2024-12-13,2024-12-16,0
2,146.5,259.05,160.2,112.55000000000001,1,2024-12-16,2024-12-17,1
3,252.45,329.0,231.15,76.55000000000001,1,2024-12-17,2024-12-18,1
4,299.05,515.5,378.15,-79.09999999999997,0,2024-12-18,2024-12-19,0
5,442.65,735.0,404.95,37.69999999999999,0,2024-12-19,2024-12-20,1
6,716.45,560.0,493.25,223.20000000000005,0,2024-12-20,2024-12-24,1
7,547.45,588.7,470.85,41.25,1,2024-12-24,2024-12-26,1
8,556.85,531.65,387.9,168.95000000000005,0,2024-12-26,2024-12-27,1
9,480.0,696.8,419.35,60.64999999999998,0,2024-12-27,2024-12-30,1
10,639.95,835.0,609.45,30.5,0,2024-12-30,2024-12-31,1
11,659.8,724.75,500.0,159.79999999999995,0,2024-12-31,2025-01-01,1
