,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,43.9,109.7,36.45,7.449999999999996,0,2024-12-19,2024-12-20,1
1,98.0,64.55,30.35,67.65,0,2024-12-20,2024-12-23,1
2,41.1,41.15,22.8,18.3,0,2024-12-23,2024-12-24,1
3,24.35,33.95,15.8,9.600000000000001,1,2024-12-24,2024-12-26,1
4,23.1,22.8,7.4,15.700000000000001,0,2024-12-26,2024-12-27,1
5,8.55,18.2,4.6,3.950000000000001,0,2024-12-27,2024-12-30,1
6,8.2,29.6,9.4,-1.200000000000001,0,2024-12-30,2024-12-31,0
7,11.7,14.5,2.65,9.049999999999999,0,2024-12-31,2025-01-01,1
