,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,266.2,307.2,207.95,41.0,1,2024-12-11,2024-12-12,1
1,294.7,569.9,197.0,275.2,1,2024-12-12,2024-12-13,1
2,198.0,303.55,193.5,4.5,0,2024-12-13,2024-12-16,1
3,265.0,449.0,285.1,184.0,1,2024-12-16,2024-12-17,1
4,433.2,549.4,396.75,116.19999999999999,1,2024-12-17,2024-12-18,1
5,514.55,784.8,601.0,-86.45000000000005,0,2024-12-18,2024-12-19,0
6,697.0,1066.0,651.0,46.0,0,2024-12-19,2024-12-20,1
7,1029.65,980.0,771.9,257.7500000000001,0,2024-12-20,2024-12-23,1
8,880.95,924.35,783.0,97.95000000000005,0,2024-12-23,2024-12-24,1
9,878.0,964.2,804.85,86.20000000000005,1,2024-12-24,2024-12-26,1
10,891.8,850.0,724.0,167.79999999999995,0,2024-12-26,2024-12-27,1
11,816.85,1021.3,760.0,56.85000000000002,0,2024-12-27,2024-12-30,1
12,991.75,1198.25,965.0,26.75,0,2024-12-30,2024-12-31,1
13,1004.65,1098.0,854.85,149.79999999999995,0,2024-12-31,2025-01-01,1
