,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,214.75,240.3,214.0,25.55000000000001,1,2024-12-11,2024-12-12,1
1,233.8,465.0,152.7,231.2,1,2024-12-12,2024-12-13,1
2,152.7,238.4,177.95,-25.25,0,2024-12-13,2024-12-16,0
3,202.95,349.15,224.6,146.2,1,2024-12-16,2024-12-17,1
4,340.0,419.8,331.6,79.80000000000001,1,2024-12-17,2024-12-18,1
5,419.8,678.4,564.85,-145.05,0,2024-12-18,2024-12-19,0
6,585.0,943.3,549.6,35.39999999999998,0,2024-12-19,2024-12-20,1
7,943.3,780.75,721.0,222.29999999999995,0,2024-12-20,2024-12-23,1
8,737.0,745.0,676.25,60.75,0,2024-12-23,2024-12-24,1
9,745.0,821.05,650.0,76.04999999999995,1,2024-12-24,2024-12-26,1
10,748.4,705.0,590.0,158.39999999999998,0,2024-12-26,2024-12-27,1
11,673.05,880.0,621.0,52.049999999999955,0,2024-12-27,2024-12-30,1
12,880.0,951.05,748.45,131.54999999999995,0,2024-12-30,2025-01-01,1
