,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,179.0,408.75,127.3,229.75,1,2024-12-11,2024-12-13,1
1,127.3,204.85,150.0,-22.700000000000003,0,2024-12-13,2024-12-16,0
2,168.7,305.4,205.0,136.7,1,2024-12-16,2024-12-17,1
3,293.75,376.9,270.65,83.14999999999998,1,2024-12-17,2024-12-18,1
4,353.55,517.25,355.0,-1.4499999999999886,0,2024-12-18,2024-12-19,0
5,507.3,813.55,477.95,29.350000000000023,0,2024-12-19,2024-12-20,1
6,813.55,753.4,543.1,270.44999999999993,0,2024-12-20,2024-12-23,1
7,632.5,700.0,565.5,67.0,0,2024-12-23,2024-12-26,1
8,647.5,608.75,477.6,169.89999999999998,0,2024-12-26,2024-12-27,1
9,576.15,790.0,522.4,53.75,0,2024-12-27,2024-12-30,1
10,738.6,926.7,719.95,18.649999999999977,0,2024-12-30,2024-12-31,1
11,746.0,828.85,626.6,119.39999999999998,0,2024-12-31,2025-01-01,1
