,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,25.9,45.5,33.05,19.6,1,2024-12-16,2024-12-17,1
1,45.5,54.5,36.0,9.0,1,2024-12-17,2024-12-18,1
2,41.8,102.8,64.7,-22.900000000000006,0,2024-12-18,2024-12-19,0
3,75.2,181.05,63.5,11.700000000000003,0,2024-12-19,2024-12-20,1
4,161.95,121.3,54.45,107.49999999999999,0,2024-12-20,2024-12-23,1
5,73.6,79.95,45.45,28.14999999999999,0,2024-12-23,2024-12-24,1
6,50.9,78.4,35.0,27.500000000000007,1,2024-12-24,2024-12-26,1
7,55.0,58.45,18.1,36.9,0,2024-12-26,2024-12-27,1
8,21.75,59.15,12.65,9.1,0,2024-12-27,2024-12-30,1
9,33.0,98.45,35.0,-2.0,0,2024-12-30,2024-12-31,0
10,35.0,54.0,14.8,20.2,0,2024-12-31,2025-01-01,1
