,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,109.0,126.0,110.8,17.0,1,2024-12-11,2024-12-12,1
1,110.8,255.55,74.5,144.75,1,2024-12-12,2024-12-13,1
2,74.5,108.05,82.95,-8.450000000000003,0,2024-12-13,2024-12-16,0
3,100.5,180.1,144.55,79.6,1,2024-12-16,2024-12-17,1
4,173.65,233.2,156.35,59.54999999999998,1,2024-12-17,2024-12-18,1
5,206.4,380.85,301.0,-94.6,0,2024-12-18,2024-12-19,0
6,317.95,588.35,292.0,25.94999999999999,0,2024-12-19,2024-12-20,1
7,564.0,491.75,316.85,247.14999999999998,0,2024-12-20,2024-12-23,1
8,398.75,428.65,317.05,81.69999999999999,0,2024-12-23,2024-12-24,1
9,375.3,486.55,309.0,111.25,1,2024-12-24,2024-12-26,1
10,391.35,361.5,238.7,152.65000000000003,0,2024-12-26,2024-12-27,1
11,305.65,520.0,253.9,51.74999999999997,0,2024-12-27,2024-12-30,1
12,452.95,671.15,419.1,33.849999999999966,0,2024-12-30,2024-12-31,1
13,457.95,560.0,313.85,144.09999999999997,0,2024-12-31,2025-01-01,1
