,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,15.6,19.35,15.0,3.7500000000000018,1,2024-12-11,2024-12-12,1
1,15.9,36.35,11.75,20.450000000000003,1,2024-12-12,2024-12-13,1
2,12.5,16.7,11.4,1.0999999999999996,0,2024-12-13,2024-12-16,1
3,13.6,22.0,12.95,8.4,1,2024-12-16,2024-12-17,1
4,19.95,22.6,15.8,2.650000000000002,1,2024-12-17,2024-12-18,1
5,18.85,55.05,24.95,-6.099999999999998,0,2024-12-18,2024-12-19,0
6,29.0,81.8,25.9,3.1000000000000014,0,2024-12-19,2024-12-20,1
7,75.1,65.0,22.35,52.74999999999999,0,2024-12-20,2024-12-23,1
8,27.25,28.25,15.75,11.5,0,2024-12-23,2024-12-24,1
9,16.8,20.4,10.4,3.599999999999998,1,2024-12-24,2024-12-26,1
10,15.5,14.95,4.8,10.7,0,2024-12-26,2024-12-27,1
11,5.55,9.0,3.15,2.4,0,2024-12-27,2024-12-30,1
12,4.75,13.55,6.5,-1.75,0,2024-12-30,2024-12-31,0
13,7.4,7.2,2.25,5.15,0,2024-12-31,2025-01-01,1
