,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,242.55,285.35,224.65,42.80000000000001,1,2024-12-11,2024-12-12,1
1,267.95,535.85,184.8,267.90000000000003,1,2024-12-12,2024-12-13,1
2,184.8,277.85,204.75,-19.94999999999999,0,2024-12-13,2024-12-16,0
3,244.15,412.2,264.2,168.04999999999998,1,2024-12-16,2024-12-17,1
4,394.8,506.2,375.3,111.39999999999998,1,2024-12-17,2024-12-18,1
5,480.65,699.1,637.15,-156.5,0,2024-12-18,2024-12-19,0
6,653.05,922.7,717.75,-64.70000000000005,0,2024-12-19,2024-12-20,0
7,922.7,878.0,716.0,206.70000000000005,0,2024-12-20,2024-12-23,1
8,833.95,855.6,748.0,85.95000000000005,0,2024-12-23,2024-12-24,1
9,825.0,936.2,749.0,111.20000000000005,1,2024-12-24,2024-12-26,1
10,846.7,771.85,685.0,161.70000000000005,0,2024-12-26,2024-12-27,1
11,771.85,912.2,716.05,55.80000000000007,0,2024-12-27,2024-12-30,1
12,823.8,882.0,847.25,-23.450000000000045,0,2024-12-30,2025-01-01,0
