,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,336.0,370.0,354.0,34.0,1,2024-12-11,2024-12-12,1
1,366.85,582.7,249.6,215.85000000000002,1,2024-12-12,2024-12-13,1
2,253.6,372.0,269.0,-15.400000000000006,0,2024-12-13,2024-12-16,0
3,331.25,547.7,360.0,216.45000000000005,1,2024-12-16,2024-12-17,1
4,515.7,1107.5,1064.9,591.8,1,2024-12-17,2024-12-20,1
5,1107.5,1117.0,1008.35,99.14999999999998,0,2024-12-20,2024-12-23,1
6,1045.0,1025.0,932.55,112.45000000000005,0,2024-12-23,2024-12-24,1
7,955.0,1056.95,961.6,101.95000000000005,1,2024-12-24,2024-12-26,1
8,1045.25,970.75,953.0,92.25,0,2024-12-26,2024-12-27,1
9,960.0,960.5,960.5,-0.5,0,2024-12-27,2024-12-30,0
10,960.5,1257.9,1009.0,-48.5,0,2024-12-30,2025-01-01,0
