,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,80.0,92.45,67.75,12.450000000000003,1,2024-12-11,2024-12-12,1
1,241.35,285.5,241.35,0.0,0,2024-11-25,2024-11-26,0
2,264.0,271.15,202.25,7.149999999999977,1,2024-11-26,2024-11-27,1
3,90.55,209.5,55.05,118.95,1,2024-12-12,2024-12-13,1
4,55.05,93.3,60.25,-5.200000000000003,0,2024-12-13,2024-12-16,0
5,79.1,141.6,84.55,62.5,1,2024-12-16,2024-12-17,1
6,134.9,177.15,116.05,42.25,1,2024-12-17,2024-12-18,1
7,148.45,300.0,222.55,-74.10000000000002,0,2024-12-18,2024-12-19,0
8,241.45,504.1,218.25,23.19999999999999,0,2024-12-19,2024-12-20,1
9,443.85,428.4,230.05,213.8,0,2024-12-20,2024-12-23,1
10,299.0,326.95,226.55,72.44999999999999,0,2024-12-23,2024-12-24,1
11,268.6,370.3,210.7,101.69999999999999,1,2024-12-24,2024-12-26,1
12,286.4,279.9,156.5,129.89999999999998,0,2024-12-26,2024-12-27,1
13,201.4,389.9,161.4,40.0,0,2024-12-27,2024-12-30,1
14,321.05,533.15,293.4,27.650000000000034,0,2024-12-30,2024-12-31,1
15,319.25,420.0,203.55,115.69999999999999,0,2024-12-31,2025-01-01,1
