,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,112.85,132.7,108.8,19.849999999999994,1,2024-12-11,2024-12-12,1
1,355.05,352.55,300.55,54.5,0,2024-11-25,2024-11-26,1
2,330.5,456.7,379.25,126.19999999999999,1,2024-11-26,2024-11-28,1
3,126.9,288.75,80.0,161.85,1,2024-12-12,2024-12-13,1
4,80.0,132.65,88.4,-8.400000000000006,0,2024-12-13,2024-12-16,0
5,109.3,204.15,121.5,94.85000000000001,1,2024-12-16,2024-12-17,1
6,193.05,255.4,170.95,62.349999999999994,1,2024-12-17,2024-12-18,1
7,230.15,412.3,300.0,-69.85,0,2024-12-18,2024-12-19,0
8,347.6,641.15,313.1,34.5,0,2024-12-19,2024-12-20,1
9,599.6,528.35,348.15,251.45000000000005,0,2024-12-20,2024-12-23,1
10,437.4,474.7,347.95,89.44999999999999,0,2024-12-23,2024-12-24,1
11,415.6,530.3,343.45,114.69999999999993,1,2024-12-24,2024-12-26,1
12,432.5,398.35,272.7,159.8,0,2024-12-26,2024-12-27,1
13,344.1,566.3,290.8,53.30000000000001,0,2024-12-27,2024-12-30,1
14,502.15,716.75,463.5,38.64999999999998,0,2024-12-30,2024-12-31,1
15,501.7,610.0,359.0,142.7,0,2024-12-31,2025-01-01,1
