,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,129.05,287.6,110.65,18.400000000000006,0,2024-12-19,2024-12-20,1
1,257.6,196.2,102.25,155.35000000000002,0,2024-12-20,2024-12-23,1
2,137.8,149.45,92.8,45.000000000000014,0,2024-12-23,2024-12-24,1
3,109.0,164.4,77.0,55.400000000000006,1,2024-12-24,2024-12-26,1
4,117.7,114.2,50.05,67.65,0,2024-12-26,2024-12-27,1
5,59.0,152.55,40.0,19.0,0,2024-12-27,2024-12-30,1
6,104.15,239.0,98.0,6.150000000000006,0,2024-12-30,2024-12-31,1
7,105.6,155.0,54.85,50.74999999999999,0,2024-12-31,2025-01-01,1
