,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,47.05,69.15,47.05,0.0,0,2024-12-13,2024-12-16,0
1,59.65,106.0,82.45,46.35,1,2024-12-16,2024-12-17,1
2,99.25,131.7,90.0,32.44999999999999,1,2024-12-17,2024-12-18,1
3,110.8,234.15,172.4,-61.60000000000001,0,2024-12-18,2024-12-19,0
4,189.7,402.05,166.45,23.25,0,2024-12-19,2024-12-20,1
5,360.85,290.0,164.65,196.20000000000002,0,2024-12-20,2024-12-23,1
6,221.95,239.05,157.2,64.75,0,2024-12-23,2024-12-24,1
7,191.5,270.0,140.3,78.5,1,2024-12-24,2024-12-26,1
8,201.55,202.75,98.4,103.15,0,2024-12-26,2024-12-27,1
9,124.2,274.35,94.2,30.0,0,2024-12-27,2024-12-30,1
10,209.45,398.1,192.7,16.75,0,2024-12-30,2024-12-31,1
11,208.0,291.45,123.0,85.0,0,2024-12-31,2025-01-01,1
