,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,162.05,190.6,146.6,28.549999999999983,1,2024-12-11,2024-12-12,1
1,430.35,509.05,490.0,-59.64999999999998,0,2024-11-25,2024-11-29,0
2,185.0,382.5,117.0,197.5,1,2024-12-12,2024-12-13,1
3,117.0,186.55,127.4,-10.400000000000006,0,2024-12-13,2024-12-16,0
4,159.4,290.6,172.25,131.20000000000002,1,2024-12-16,2024-12-17,1
5,275.0,356.2,244.05,81.19999999999999,1,2024-12-17,2024-12-18,1
6,322.0,551.8,443.8,-121.80000000000001,0,2024-12-18,2024-12-19,0
7,464.0,813.05,430.1,33.89999999999998,0,2024-12-19,2024-12-20,1
8,764.0,697.0,501.2,262.8,0,2024-12-20,2024-12-23,1
9,605.0,641.8,507.2,97.80000000000001,0,2024-12-23,2024-12-24,1
10,587.55,710.0,514.0,122.45000000000005,1,2024-12-24,2024-12-26,1
11,604.0,564.2,430.8,173.2,0,2024-12-26,2024-12-27,1
12,523.15,752.25,462.2,60.94999999999999,0,2024-12-27,2024-12-30,1
13,691.9,920.0,667.45,24.449999999999932,0,2024-12-30,2024-12-31,1
14,705.3,810.45,550.0,155.29999999999995,0,2024-12-31,2025-01-01,1
