,plast,nhigh,nlow,diff,sentiment,present_date,predictive_date,acc
0,225.9,263.05,207.5,37.150000000000006,1,2024-12-11,2024-12-12,1
1,250.05,498.7,161.35,248.64999999999998,1,2024-12-12,2024-12-13,1
2,165.0,260.95,180.95,-15.949999999999989,0,2024-12-13,2024-12-16,0
3,221.35,390.95,242.0,169.6,1,2024-12-16,2024-12-17,1
4,375.5,482.4,340.0,106.89999999999998,1,2024-12-17,2024-12-18,1
5,448.75,710.1,600.25,-151.5,0,2024-12-18,2024-12-19,0
6,624.05,954.2,575.45,48.59999999999991,0,2024-12-19,2024-12-20,1
7,939.0,888.0,672.0,267.0,0,2024-12-20,2024-12-23,1
8,793.35,823.0,690.2,103.14999999999998,0,2024-12-23,2024-12-24,1
9,780.0,876.6,695.35,96.60000000000002,1,2024-12-24,2024-12-26,1
10,791.75,752.0,617.85,173.89999999999998,0,2024-12-26,2024-12-27,1
11,722.35,935.65,650.6,71.75,0,2024-12-27,2024-12-30,1
12,891.9,1108.35,856.0,35.89999999999998,0,2024-12-30,2024-12-31,1
13,902.0,1003.65,753.75,148.25,0,2024-12-31,2025-01-01,1
